,SIRT1_0.0,SIRT1_0.1,SIRT1_0.2,SIRT1_0.3,SIRT1_0.4,SIRT1_0.5,SIRT1_0.6,SIRT1_0.7,SIRT1_0.8,SIRT1_0.9,SIRT1_1.0
3HLYTCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3M4HDXPAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3MLDAt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3MOBt2im,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3MOPt2im,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3MOX4HOXPGALDOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3MOX4HOXPGALDOX_NADP_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3MOXTYROX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3SALAASPm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.702507537761814
3SALACBOXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3SALAOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3SALATAi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3SALATAim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.702507537761814
3SPYRSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3SPYRSPm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.702507537761814
41R1H2MAE12BOOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41R2A1H12BOOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42A12BOOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ABUTtm,0.0,0.0,10.173836739014405,0.0,0.0,31.850232155762797,0.3520506054022121,10.478988260802705,0.0,57.539652108018224,0.0
4HBZCOAFm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4HBZFm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4HDEBRISOQUINEte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4HGLSDm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4HOXPACDOX_NADP_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4MOPt2im,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4MPTNLte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4MPTNLtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4MTOLBUTAMIDEte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4NPHSFte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4NPHSULT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4NPHte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4PYRDX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5ADTSTSTERONEGLCte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5ADTSTSTERONEGLCtr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5ADTSTSTERONESte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5ADTSTSTERONESULT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5ADTSTSTERONEte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5ADTSTSTERONEtr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5AOPtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5DHFtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5FTHFt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5HLTDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5HOMEPRAZOLEte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5HOXINDACTO2OX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5HOXINOXDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5HTRPVESSEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5MTHFt,-1000.0,1000.0,-1000.0,398.99999999999994,-390.21886429838446,-500.00149999999996,999.0,1000.0,1000.0,-1000.0,881.5301541757725
5MTHFt2,0.0,-99.99999999999997,199.99999999999994,300.00000000000006,400.0,-500.0,-600.0,-700.0,-800.0,900.0,-881.5301541757725
5THFtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5THFtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6DHFtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6DHFtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6HTSTSTERONEte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6HTSTSTERONEtr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6THFtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6THFtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7DHCHSTEROLtr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7DHFtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7DHFtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7THFtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7THFtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_MANASEly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALTc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALTg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GNT1g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GNT2g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AACTOOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AACTtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AASAD3m,0.0,0.0,0.0,0.0,0.0,6.217615001058571,0.0,0.0,0.0,0.0,0.0
AATAi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABO1g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABO2g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABO3g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABO4g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABO5g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABO6g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABO7g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABO8g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABO9g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABTArm,0.0,0.0,10.173836739014405,0.0,0.0,31.850232155762797,0.3520506054022121,10.478988260802705,0.0,57.539652108018224,0.0
ABTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABTti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABUTt2rL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABUTt4_2_r,0.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACACT10m,8.172552691327741,0.0,0.0,0.0,0.0,8.172552691327741,8.172552691327741,0.0,0.0,0.0,-0.9163755594005352
ACACT1rm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24653106161756,0.0,0.0,17.21518244734957
ACACT1x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACACt2m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.21518244734957
ACACT4p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4517467265569053,0.0,0.0,0.0
ACACT5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACACT6p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.225222208837856,0.0,0.0
ACACT7p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.225222208837856,0.0,0.0
ACACT8p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
ACACT9p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACACtx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.24653106161756,0.0,0.0,-17.21518244734957
ACALDtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACALDtr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACALDtx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACCOACm,0.0,0.0,0.0,311.6658188944672,127.6577834440258,565.9265980717664,516.7381217804241,134.25274667877034,631.5249053384541,0.0,6.619610422635539
ACCOAgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACCOALm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACCOAtn,1.1104303461371694,0.9986684420772305,-0.5000000000000036,-0.5,75.09978426922743,0.9986684420772305,0.9988584474885845,0.9988584474885845,0.9988584474885845,0.9988584474885845,0.9986684420772305
ACCOAtr,0.0,-100.0,-200.0,-300.0,-400.0,-500.0,-600.0,-275.042988579041,-409.88830059061013,800.0,-997.5
ACETONEt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.21518244734957
ACETONEt2m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.21518244734957
ACGAGBSIDEtg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGAGBSIDEtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGALK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGALtlg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGALtly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGAM6PSi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGAMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGAMPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGAMtly,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0
ACGBGBSIDEtg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGBGBSIDEtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGPID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGSm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACHEe,0.11169940938989756,0.0,0.0,0.0,74.24998383776588,0.0,0.0,0.0,0.0,0.0,0.0
ACHtn,1.1104303461371694,0.9986684420772305,-0.5000000000000036,-0.5,75.09978426922743,0.9986684420772305,0.9988584474885845,0.9988584474885845,0.9988584474885845,0.9988584474885845,0.9986684420772305
ACHVESSEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACITL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACN13ACNGALGBSIDEte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACN13ACNGALGBSIDEtg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACN23ACNGALGBSIDEte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACN23ACNGALGBSIDEtg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACNACNGAL14ACGLCGALGLUSIDEte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACNACNGAL14ACGLCGALGLUSIDEtg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACNACNGALGBSIDEte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACNACNGALGBSIDEtg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACNAM9PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACNAM9PL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACNAMlt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACNAMPH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACNAMtn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACNMLr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOAD10m,8.172552691327741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOAD1fm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOAD8m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOAD9m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOAHi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOAO7p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACODA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACONTm,1000.0,-14.533334793432232,-426.6622235513157,968.3497678442366,-15.157437927535284,0.0,977.4243496045042,980.2562034137117,967.8497678442363,25.28941995225466,1000.0
ACOX22x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOX2x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACP1_FMN_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACRNtm,0.0,-100.0,-200.0,-300.0,-400.0,-500.0,600.0,-295.7534689383824,-129.57420582619443,-900.0,-936.4475445942016
ACS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSm,0.0,195.77095176392382,0.0,0.0,74.24998383776588,0.0,0.0,0.0,0.0,0.0,0.0
ACSRTNMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACt2m,0.0,195.77095176392382,0.0,0.0,74.24998383776588,0.0,0.0,0.0,0.0,0.0,0.0
ACt2r,501.11169940938987,-1000.0,-700.0,0.0,-50.75001616223412,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
ACtg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTLMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTNMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAe,0.5732157588503242,0.6732157588498886,0.0,0.0,0.9732157588495625,0.7792749877718848,0.0,1.2732157588505402,0.0,0.0,0.0
ADCim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.21518244734957
ADEt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADK1m,-1000.0,-370.59116081914726,-566.4503495054727,-750.8496287577015,-454.6514589232022,-1000.0,-999.9999999999999,-39.18419807704859,-210.48847284556234,-999.5732157588507,-1000.0
ADK3,-990.5149186040358,500.81080391629337,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,-948.0604717566654
ADK3m,1000.0,566.362112583071,567.6503495054727,751.5703537699304,539.3282270021185,1000.0,1000.0,39.6109823181981,212.2884728455623,1000.0,1000.0
ADKd,1000.0,-801.8933669681012,1000.0,694.4312566284887,-590.5038079187855,1000.0,1000.0,1000.0,1000.0,1000.0,-1000.0
ADMDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADNCYC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADNK1m,0.0,0.0,1.2000000000000455,0.7207250122289682,0.4267842411504148,0.0,1.1368683772161603e-13,0.4267842411495053,1.7999999999999547,0.4267842411493348,0.0
ADNt,1000.0,1000.0,1000.0,481.2403998044457,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,1000.0
ADNt4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADNtl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADNtm,0.0,0.0,1.2000000000000455,0.7207250122289682,0.4267842411504148,0.0,1.1368683772161603e-13,0.4267842411495053,1.7999999999999547,0.4267842411493348,0.0
ADPMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADPRIBt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADPtx,1000.0,-1000.0,0.0,-1000.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
