ID,V3_C005,V3_C009,V3_C010,V3_C016,V3_C018,V3_C019,V3_C100,V3_C101,V3_C105,V3_C106,V3_C110,V3_C111,V3_C112,V3_C113,V3_C114,V3_C117,V3_C119,V3_C120,V4_C005,V4_C009,V4_C010,V4_C016,V4_C018,V4_C019,V4_C100,V4_C101,V4_C105,V4_C106,V4_C110,V4_C111,V4_C112,V4_C113,V4_C114,V4_C117,V4_C119,V4_C120,V5_C005,V5_C009,V5_C010,V5_C018,V5_C019,V5_C100,V5_C101,V5_C105,V5_C106,V5_C110,V5_C111,V5_C112,V5_C113,V5_C114,V5_C117,V5_C119,V5_C120,V6_C005,V6_C009,V6_C010,V6_C016,V6_C018,V6_C019,V6_C100,V6_C101,V6_C105,V6_C106,V6_C110,V6_C111,V6_C112,V6_C113,V6_C114,V6_C117,V6_C119,V6_C120
panActinomyces_sp_ICM47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010057,0,0,0,0.015212,0,0.013809,0,0,0.00515,0,0.028578,0.002679,0.016998,0,0,0.059841,0,0.0089309,0,0,0,0,0.0019962,0.0072846,0,0.0081862,0,0,0,0,0.0018951,0,0,0
panActinomyces_sp_ICM54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001442,0,0,0,0,0.0010057,0,0,0,0,0,0.0015535,0.0020332,0,0.0024358,0.0010388,0,0,0,0.0018302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panActinomyces_sp_ICM58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022489,0,0,0,0,0.0016398,0,0,0.0032709,0,0.0044639,0,0.0046618,0,0.010811,0.059386,0,0,0,0,0,0,0,0,0,0.018067,0,0,0,0,0,0,0,0
panActinomyces_sp_oral_taxon_172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018852,0,0,0,0,0.0017836,0,0,0.0026446,0,0.0035424,0.010982,0.0035518,0.0015861,0.010956,0.047023,0,0,0,0,0,0,0,0,0,0.015179,0,0,0,0,0,0,0,0
panActinomyces_sp_oral_taxon_181,0,0,0,0,0,0,0,0,0,0,0,0,0.0021172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0090738,0,0,0,0,0.0037398,0,0,0,0,0.0010053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panActinomyces_sp_ph3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010247,0,0,0,0,0.0039124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panActinomyces_sp_S6_Spd3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010143,0,0,0,0,0,0.0013689,0,0,0,0,0,0,0,0,0,0.0031594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panActinomyces_urogenitalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042511,0.040541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033012,0.13129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039697,0
panActinotignum_timonense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panAdlercreutzia_equolifaciens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064659,0
panAgathobaculum_butyriciproducens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011716,0,0.00169,0,0,0,0,0,0,0.0011084,0.0018004,0,0
panAkkermansia_muciniphila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02078,0,0.0035848,0,0,0,0,0.0036386,0,0.0010208,0.0010448,0.0052134,0,0,0.0020075,0,0
panAlistipes_communis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018913,0,0
panAlistipes_finegoldii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001492,0,0,0.021847,0,0,0,0,0,0,0,0.0027443,0,0,0.0057592
panAlistipes_onderdonkii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038059,0,0,0,0,0,0,0,0,0,0,0.0011541
panAlistipes_putredinis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013564,0.0016417,0,0,0,0,0,0,0,0,0,0,0.0013323,0,0
panAlistipes_sp_AM16_43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032649,0,0,0,0,0,0,0,0,0,0,0.0013538
panAnaerobutyricum_hallii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075686,0,0,0.0089329,0,0,0,0.0043008,0,0,0,0,0.017763,0,0.0034416,0,0,0.004705
panAnaerococcus_hydrogenalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040666,0,0,0,0,0,0,0,0,0.0020174,0,0,0,0.0011311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panAnaerococcus_jeddahensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panAnaerococcus_nagyae,0,0,0,0,0,0,0,0.12327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panAnaerococcus_obesiensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016525,0,0,0,0,0,0,0,0,0,0,0,0,0.0011524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panAnaerococcus_rubeinfantis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panAnaerococcus_sp_HMSC065G05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panAnaerococcus_sp_HMSC068A02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014265,0,0,0,0,0,0,0,0,0,0,0,0,0.0011738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panAnaerococcus_sp_HMSC075B03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panAnaerococcus_vaginalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panAnaerostipes_caccae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028752,0.0013209,0,0,0,0,0,0.002436,0.023186,0.0057995,0,0,0,0,0,0.0013503,0,0
panAnaerostipes_hadrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036535,0,0,0,0,0.00736,0,0,0,0,0,0,0,0,0.033445,0.0046301,0.0066871,0.0062312,0.013217,0.0013147,0,0,0.013745,0.0058427,0,0.0013945,0.0017014,0,0.0018088
panAnaerostipes_sp_AF04_45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011343,0,0
panAnaerotignum_lactatifermentans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panAnaerotruncus_colihominis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001492,0,0,0,0.0013637,0,0,0,0,0.001146,0.0066499,0.0049165,0,0,0
panAnaerotruncus_Ruminococcaceae_bacterium_AF10_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012493,0,0,0,0,0
panAnaerotruncus_Ruminococcaceae_bacterium_TF06_43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017284,0,0,0,0,0
panAtlantibacter_hermannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panAtopobium_sp_BS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011725,0,0.015837,0,0,0,0,0,0,0.016215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panAtopobium_sp_ICM42b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013824,0,0,0,0,0,0,0.014579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panBacteroides_acidifaciens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panBacteroides_caccae,0,0,0.0015802,0,0,0,0,0,0,0.015464,0,0,0,0,0,0.0015316,0,0,0,0,0.0016487,0,0,0,0,0,0,0.0022179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031451,0,0.0016448,0,0,0,0,0.014688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059979,0.011274
panBacteroides_caecimuris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012253,0,0,0,0,0.0014337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panBacteroides_cellulosilyticus,0,0,0,0,0,0,0,0,0.0015582,0,0,0,0,0,0,0,0,0,0.12638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072091,0,0,0.0029066,0,0,0,0,0,0,0,0.0014628,0,0,0,0,0,0
panBacteroides_dorei,0,0,0.001094,0,0.0027726,0,0,0,0.014024,0,0.0038581,0,0,0,0,0,0,0,0,0,0.0010753,0,0,0,0,0,0.0047792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005697,0,0,0.0041097,0,0,0,0,0,0.0045941
panBacteroides_eggerthii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030394
panBacteroides_faecis,0,0,0,0,0,0,0,0,0,0.020076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065719,0,0,0,0,0,0,0,0,0,0,0,0.0043017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panBacteroides_finegoldii,0,0,0,0,0,0,0,0,0,0.0010852,0,0,0,0,0,0,0,0,0,0,0.001147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panBacteroides_fragilis,0.041128,0,0.088003,0.014191,0.2281,0,0.0019782,0,0.0045262,0.0016278,0,0.015279,0,0,0,0.005667,0,0,0.023653,0,0.02129,0,0.0019286,0,0,0,0.0015656,0.0010646,0,0.018271,0,0,0,0.0018331,0,0,0.001482,0,0.024343,0.015369,0,0,0,0.0012406,0,0,0.019796,0,0,0,0,0,0,0.0036574,0,0.0055501,0.0060651,0.0027854,0.0011648,0,0,0.002802,0,0,0.002496,0,0,0.0014392,0.0025206,0.022293,0
panBacteroides_helcogenes,0,0,0,0,0.0011091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panBacteroides_intestinalis,0,0,0,0,0,0,0,0,0.001484,0,0,0,0,0,0,0,0,0,0.0040416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panBacteroides_ovatus,0,0,0.0032819,0,0,0,0.0013848,0,0,0,0,0.0013432,0,0,0,0,0,0,0,0,0.0088172,0,0,0,0,0,0,0,0,0.0019298,0,0,0,0,0,0,0.0046578,0,0.0010455,0,0,0,0,0,0,0,0.0064062,0,0,0,0,0,0,0,0,0,0.0051543,0,0,0,0.0021562,0.007928,0,0,0,0,0,0,0.031264,0,0.015058
panBacteroides_rodentium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022974,0,0,0,0,0.0037276,0,0,0,0,0,0,0,0,0.001355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panBacteroides_sp_1_1_14,0,0,0.001094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panBacteroides_sp_1_1_30,0,0,0.0029172,0,0,0,0,0,0,0,0,0.0029102,0,0,0,0,0,0,0,0,0.00681,0,0,0,0,0,0,0,0,0.0036543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026854
panBacteroides_sp_14_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panBacteroides_sp_2_1_33B,0,0.001418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panBacteroides_sp_2_2_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panBacteroides_sp_3_1_33FAA,0,0,0,0,0,0,0,0,0.0010388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panBacteroides_sp_3_1_40A,0,0,0,0,0,0,0.0011869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panBacteroides_sp_4_1_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panBacteroides_sp_AF14_46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025967
panBacteroides_sp_AF17_1,0,0,0,0,0,0,0,0,0.0015582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019039,0,0.0013683,0,0,0,0.0022527
panBacteroides_sp_AM37_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019334,0,0,0,0,0,0,0,0,0,0.0012401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panBacteroides_sp_D20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029101,0,0,0,0,0.0017921,0,0,0,0,0,0,0,0,0.0015192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panBacteroides_sp_D22,0,0,0.0023095,0,0,0,0,0,0,0,0,0.0012872,0,0,0,0,0,0,0,0,0.0073118,0,0,0,0,0,0,0,0,0.0011086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014648
panBacteroides_stercoris,0,0,0,0,0.0012015,0,0.0013848,0,0.0015582,0.0018991,0,0,0,0,0,0.0022974,0,0,0,0,0.0017204,0,0,0,0,0,0,0.0015082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029257,0,0
panBacteroides_thetaiotaomicron,0,0,0.010453,0,0,0,0,0,0,0.0035269,0,0,0,0,0,0.0015316,0,0,0,0,0.0018638,0,0,0,0,0,0,0.0026615,0,0.0011497,0,0,0,0,0,0,0.0010586,0,0,0,0,0,0,0,0.0010059,0,0.0013851,0,0,0,0,0,0,0,0.005599,0,0,0,0,0,0,0,0,0,0,0,0,0.0013766,0.024432,0,0.013372
