MicrobeID	2-Fucosyllactose	3-Fucosyllactose	3-Sialyllactose	6-Sialyllactose	Difucosyllactose	Difucosyllacto-N-hexaose a	Disialyllactose	Disialyllacto-N-tetraose	Galacto-N-biose	Lacto-N-biose	Lacto-N-difucohexaose	Lacto-N-difucopentaose II	Lacto-N-fucopentaose I	Lacto-N-fucopentaose II	Lacto-N-fucopentaose III	Lacto-N-fucopentaose V	Lacto-N-hexaose	Lacto-N-neohexaose	Lacto-N-neotetraose	Lacto-N-tetraose	Lacto-N-triose I	Lacto-N-triose II	Lactodifucotetraose	Monofucosyllacto-N-hexaose	Monofucosylmonosialyllacto-N-hexaose	Sialyllacto-N-tetraose a	Sialyllacto-N-tetraose b	Sialyllacto-N-tetraose c	N-acetyllactosamine	Lactose	N-acetylgalactosamine	N-acetylneuraminic acid	D-glucose	N-acetylglucosamine	L-fucose
Bacteroides_fragilis_str_DS_208	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_YCH46	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron_3731	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron_7330	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron_dnLKV9	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron_ERR1022331	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron_ERR1022413	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron_ERR1022459	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron_ERR2221264	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron_ERR2221274	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron_ERR2221312	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron_ERR2230081	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron_VPI_5482	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ATCC_8482	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_CL09T03C04	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_dnLKV7	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR1022358	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR1022411	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR1022458	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR1203951	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR1204045	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR2221206	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR2221254	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR2221256	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR2221259	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR2221267	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR2221272	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR2221273	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR2221276	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR2230079	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR2230086	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR2230091	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR2230095	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR2230128	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR2230134	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_ERR2230150	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_mpk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus_PC510	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_animalis_subsp_animalis_ATCC_27672	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Bifidobacterium_bifidum_156B	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0
Bifidobacterium_bifidum_ATCC_29521	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0
Bifidobacterium_bifidum_BGN4	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0
Bifidobacterium_bifidum_ERR1022335	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0
Bifidobacterium_bifidum_LMG_13195	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0
Bifidobacterium_bifidum_NCIMB_41171	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0
Bifidobacterium_bifidum_PRL2010	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0
Bifidobacterium_bifidum_S17	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0
Bifidobacterium_breve_12L	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_2L	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_689b	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_ACS_071_V_Sch8b	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_CECT_7263	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_DPC_6330	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_breve_DSM_20213	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1
Bifidobacterium_breve_ERR2230051	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_HPH0326	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_JCM_7017	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_JCM_7019	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_MCC_0121	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_MCC_0305	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_MCC_0476	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_MCC_1094	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_MCC_1114	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_MCC_1128	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_MCC_1340	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_MCC_1454	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_MCC_1604	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_MCC_1605	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_NCFB_2258	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
Bifidobacterium_breve_UCC2003_NCIMB8807	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	1	1	0	1	1
Bifidobacterium_dentium_ATCC_27678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bifidobacterium_dentium_ATCC_27679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bifidobacterium_dentium_Bd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bifidobacterium_dentium_JCM_1195_DSM_20436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bifidobacterium_dentium_JCVIHMP022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bifidobacterium_kashiwanohense_DSM_21854	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_longum_BG7	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_BXY01	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_DJO10A	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_E18	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_ERR2221141	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_ERR2221351	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_ERR2221409	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_ERR2230052	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_ERR2230120	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_ERR2230133	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_ERR2230158	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_longum_ATCC_55813	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_longum_BBMN68	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_longum_CCUG_52486	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_longum_JCM_1217	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0
Bifidobacterium_longum_longum_JDM301	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_NCC2705	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_subsp_longum_1_6B	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_subsp_longum_2_2B	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_subsp_longum_35B	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_subsp_longum_44B	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_subsp_longum_CMCC_P0001	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_subsp_longum_F8	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_subsp_longum_KACC_91563	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_subsp_longum_NCIMB8809	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0
Bifidobacterium_longum_infantis_157F_NC	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	0	1	1
Bifidobacterium_longum_infantis_ATCC_15697	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Bifidobacterium_longum_subsp_infantis_BT1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	0	1	1
Bifidobacterium_pseudocatenulatum_DSM_20438	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Bifidobacterium_pseudocatenulatum_ERR1022356	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Bifidobacterium_pseudocatenulatum_ERR1203976	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Bifidobacterium_pseudocatenulatum_ERR1204070	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Bifidobacterium_pseudocatenulatum_ERR2221142	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Bifidobacterium_pseudocatenulatum_IPLA36007	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Enterococcus_faecalis_ATCC_19433	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium_ramulus_ATCC_29099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus_acidophilus_ATCC_4796	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
Lactobacillus_acidophilus_La_14	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
Lactobacillus_acidophilus_NCFM	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
Lactobacillus_casei_12A	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0
Lactobacillus_casei_21_1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0
Lactobacillus_casei_A2_362	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0
Lactobacillus_casei_casei_BL23	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0
Lactobacillus_casei_ERR2221237	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0
Lactobacillus_casei_ERR2221291	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0
