Taxon,TaxonID,Species,AGORA2_Species
taxid_239935,239935,Akkermansia muciniphila,Akkermansia_muciniphila
taxid_214856,214856,Alistipes finegoldii,Alistipes_finegoldii
taxid_1470347,1470347,Alistipes ihumii,Alistipes_ihumii
taxid_626932,626932,Alistipes indistinctus,Alistipes_indistinctus
taxid_1118061,1118061,Alistipes obesi,Alistipes_communis
taxid_328813,328813,Alistipes onderdonkii,Alistipes_onderdonkii
taxid_28117,28117,Alistipes putredinis,Alistipes_putredinis
taxid_1288121,1288121,Alistipes senegalensis,Alistipes_senegalensis
taxid_328814,328814,Alistipes shahii,Alistipes_shahii
taxid_1499682,1499682,Alistipes sp. AL-1,Alistipes_sp_AL_1
taxid_2292911,2292911,Alistipes sp. AM16-43,Alistipes_sp_AM16_43
taxid_908612,908612,Alistipes sp. HGB5,Alistipes_sp_HGB5
taxid_1816676,1816676,Alistipes sp. Marseille-P2431,Alistipes_provencensis
taxid_1465754,1465754,Alistipes timonensis,Alistipes_timonensis
taxid_645887,645887,Alkalibaculum bacchi,Alkalibaculum_bacchi
taxid_114628,114628,Alkaliphilus transvaalensis,Alkaliphilus_transvaalensis
taxid_174709,174709,Allobaculum stercoricanis,Allobaculum_stercoricanis
taxid_671218,671218,Alloprevotella rava,Alloprevotella_rava
taxid_419015,419015,Alloscardovia omnicolens,Alloscardovia_omnicolens
taxid_35517,35517,Aminipila [Eubacterium] brachy,Eubacterium_brachy
taxid_51123,51123,Aminipila [Eubacterium] saphenum,Eubacterium_saphenum
taxid_157733,157733,Anaerobacillus macyae,Anaerobacillus_macyae
taxid_33029,33029,Anaerococcus hydrogenalis,Anaerococcus_hydrogenalis
taxid_33032,33032,Anaerococcus lactolyticus,Anaerococcus_lactolyticus
taxid_1755241,1755241,Anaerococcus nagyae DSM 101193,Anaerococcus_nagyae
taxid_1287640,1287640,Anaerococcus obesiensis,Anaerococcus_obesiensis
taxid_33034,33034,Anaerococcus prevotii,Anaerococcus_prevotii
taxid_1720199,1720199,Anaerococcus rubeinfantis,Anaerococcus_rubeinfantis
taxid_1288120,1288120,Anaerococcus senegalensis,Anaerococcus_senegalensis
taxid_1739356,1739356,Anaerococcus sp. HMSC065G05,Anaerococcus_sp_HMSC065G05
taxid_1739286,1739286,Anaerococcus sp. HMSC068A02,Anaerococcus_sp_HMSC068A02
taxid_1739537,1739537,Anaerococcus sp. HMSC075B03,Anaerococcus_sp_HMSC075B03
taxid_1673719,1673719,Anaerococcus sp. SB3,Anaerococcus_jeddahensis
taxid_33036,33036,Anaerococcus tetradius,Anaerococcus_tetradius
taxid_33037,33037,Anaerococcus vaginalis,Anaerococcus_vaginalis
taxid_214853,214853,Anaerofustis stercorihominis,Anaerofustis_stercorihominis
taxid_156456,156456,Anaeroglobus geminatus,Anaeroglobus_geminatus
taxid_2088,2088,Anaeroplasma bactoclasticum,Anaeroplasma_bactoclasticum
taxid_1347392,1347392,Anaerosalibacter massiliensis,Anaerosalibacter_massiliensis
taxid_264463,264463,Anaerosporobacter mobilis,Anaerosporobacter_mobilis
taxid_105841,105841,Anaerostipes caccae,Anaerostipes_caccae
taxid_649756,649756,Anaerostipes hadrus,Anaerostipes_hadrus
taxid_658083,658083,Anaerostipes Lachnospiraceae bacterium 6_1_63FAA,Lachnospiraceae_bacterium_6_1_63FAA
taxid_2292912,2292912,Anaerostipes sp. AF04-45,Anaerostipes_sp_AF04_45
taxid_160404,160404,Anaerotignum lactatifermentans,Anaerotignum_lactatifermentans
taxid_28446,28446,Anaerotignum propionicum,Anaerotignum_propionicum
taxid_1535,1535,Anaerotruncus [Clostridium] leptum,Clostridium_leptum
taxid_84026,84026,Anaerotruncus [Clostridium] methylpentosum,Clostridium_methylpentosum
taxid_39492,39492,Anaerotruncus [Eubacterium] siraeum,Eubacterium_siraeum
taxid_169435,169435,Anaerotruncus colihominis,Anaerotruncus_colihominis
taxid_552398,552398,Anaerotruncus Ruminococcaceae bacterium D16,Ruminococcaceae_bacterium_D16
taxid_2320082,2320082,Anaerotruncus sp. 1XD22-93,Anaerotruncus_sp_1XD22_93
taxid_1235835,1235835,Anaerotruncus sp. G3(2012),Anaerotruncus_sp_G3_2012
taxid_143393,143393,Anaerovorax [Eubacterium] sulci,Eubacterium_sulci
taxid_109327,109327,Anaerovorax odorimutans,Anaerovorax_odorimutans
taxid_1391,1391,Aneurinibacillus aneurinilyticus,Aneurinibacillus_aneurinilyticus
taxid_28264,28264,Arcanobacterium haemolyticum,Arcanobacterium_haemolyticum
taxid_28197,28197,Arcobacter butzleri,Aliarcobacter_butzleri
taxid_394340,394340,Asaccharobacter celatus,Adlercreutzia_equolifaciens
taxid_469613,469613,Atlantibacter Enterobacteriaceae bacterium 9_2_54FAA,Enterobacteriaceae_bacterium_9_2_54FAA
taxid_565,565,Atlantibacter hermannii,Atlantibacter_hermannii
taxid_1381,1381,Atopobium minutum,Atopobium_minutum
taxid_1382,1382,Atopobium parvulum,Lancefieldella_parvula
taxid_936550,936550,Atopobium sp. BS2,Atopobium_sp_BS2
taxid_1190620,1190620,Atopobium sp. ICM42b,Atopobium_sp_ICM42b
taxid_82135,82135,Atopobium vaginae,Atopobium_vaginae
taxid_1499685,1499685,Bacillus andreraoultii,Bacillus_andreraoultii
taxid_1396,1396,Bacillus cereus,Bacillus_cereus
taxid_79880,79880,Bacillus clausii,Alkalihalobacillus_clausii
taxid_580165,580165,Bacillus cytotoxicus,Bacillus_cytotoxicus
taxid_135735,135735,Bacillus endophyticus,Priestia_endophytica
taxid_1399,1399,Bacillus firmus,Cytobacillus_firmus
taxid_324767,324767,Bacillus infantis,Bacillus_infantis
taxid_1522318,1522318,Bacillus kwashiorkori,Bacillus_kwashiorkori
taxid_1468413,1468413,Bacillus massilioanorexius,Bacillus_massilioanorexius
taxid_1287657,1287657,Bacillus massiliosenegalensis,Robertmurraya_massiliosenegalensis
taxid_1404,1404,Bacillus megaterium,Bacillus_megaterium
taxid_72360,72360,Bacillus mojavensis,Bacillus_mojavensis
taxid_1405,1405,Bacillus mycoides,Bacillus_mycoides
taxid_115979,115979,Bacillus nealsonii,Niallia_nealsonii
taxid_1648923,1648923,Bacillus paralicheniformis,Bacillus_paralicheniformis
taxid_79885,79885,Bacillus pseudofirmus,Alkalihalophilus_pseudofirmus
taxid_64104,64104,Bacillus pseudomycoides,Bacillus_pseudomycoides
taxid_1408,1408,Bacillus pumilus,Bacillus_pumilus
taxid_1499680,1499680,Bacillus rubiinfantis,Bacillus_rubiinfantis
taxid_1478,1478,Bacillus simplex,Bacillus_simplex
taxid_1479,1479,Bacillus smithii,Bacillus_smithii
taxid_119858,119858,Bacillus sonorensis,Bacillus_sonorensis
taxid_1476857,1476857,Bacillus sp. B-jedd,Bacillus_sp_B_jedd
taxid_1423,1423,Bacillus subtilis,Bacillus_subtilis
taxid_35841,35841,Bacillus thermoamylovorans,Bacillus_thermoamylovorans
taxid_1428,1428,Bacillus thuringiensis,Bacillus_thuringiensis
taxid_1033734,1033734,Bacillus timonensis,Bacillus_timonensis
taxid_72361,72361,Bacillus vallismortis,Bacillus_vallismortis
taxid_492670,492670,Bacillus velezensis,Bacillus_velezensis
taxid_85831,85831,Bacteroides acidifaciens,Bacteroides_acidifaciens
taxid_376804,376804,Bacteroides barnesiae,Phocaeicola_barnesiae
taxid_47678,47678,Bacteroides caccae,Bacteroides_caccae
taxid_1796613,1796613,Bacteroides caecimuris,Bacteroides_caecimuris
taxid_246787,246787,Bacteroides cellulosilyticus,Bacteroides_cellulosilyticus
taxid_626929,626929,Bacteroides clarus,Bacteroides_clarus
taxid_310298,310298,Bacteroides coprocola,Phocaeicola_coprocola
taxid_387090,387090,Bacteroides coprophilus,Phocaeicola_coprophilus
taxid_151276,151276,Bacteroides coprosuis,Bacteroides_coprosuis
taxid_357276,357276,Bacteroides dorei,Bacteroides_dorei
taxid_28111,28111,Bacteroides eggerthii,Bacteroides_eggerthii
taxid_674529,674529,Bacteroides faecis,Bacteroides_faecis
taxid_338188,338188,Bacteroides finegoldii,Bacteroides_finegoldii
taxid_626930,626930,Bacteroides fluxus,Bacteroides_fluxus
taxid_817,817,Bacteroides fragilis,Bacteroides_fragilis
taxid_376806,376806,Bacteroides gallinarum,Bacteroides_gallinarum
taxid_477666,477666,Bacteroides graminisolvens,Bacteroides_graminisolvens
taxid_290053,290053,Bacteroides helcogenes,Bacteroides_helcogenes
taxid_329854,329854,Bacteroides intestinalis,Bacteroides_intestinalis
taxid_1297750,1297750,Bacteroides luti,Bacteroides_luti
taxid_204516,204516,Bacteroides massiliensis,Phocaeicola_massiliensis
taxid_1347393,1347393,Bacteroides neonati,Bacteroides_neonati
taxid_291645,291645,Bacteroides nordii,Bacteroides_nordii
taxid_626931,626931,Bacteroides oleiciplenus,Bacteroides_oleiciplenus
taxid_28116,28116,Bacteroides ovatus,Bacteroides_ovatus
taxid_310297,310297,Bacteroides plebeius,Phocaeicola_plebeius
taxid_392838,392838,Bacteroides propionicifaciens,Bacteroides_propionicifaciens
taxid_310300,310300,Bacteroides pyogenes,Bacteroides_pyogenes
taxid_691816,691816,Bacteroides rodentium,Bacteroides_rodentium
taxid_376805,376805,Bacteroides salanitronis,Phocaeicola_salanitronis
taxid_291644,291644,Bacteroides salyersiae,Bacteroides_salyersiae
taxid_671267,671267,Bacteroides sartorii,Phocaeicola_sartorii
taxid_469585,469585,Bacteroides sp. 1_1_14,Bacteroides_sp_1_1_14
taxid_457387,457387,Bacteroides sp. 1_1_30,Bacteroides_sp_1_1_30
taxid_1163670,1163670,Bacteroides sp. 14(A),Bacteroides_sp_14_A
taxid_469589,469589,Bacteroides sp. 2_1_33B,Bacteroides_sp_2_1_33B
taxid_469590,469590,Bacteroides sp. 2_2_4,Bacteroides_sp_2_2_4
taxid_469592,469592,Bacteroides sp. 3_1_19,Bacteroides_sp_3_1_19
taxid_457390,457390,Bacteroides sp. 3_1_23,Bacteroides_sp_3_1_23
taxid_457391,457391,Bacteroides sp. 3_1_33FAA,Bacteroides_sp_3_1_33FAA
taxid_469593,469593,Bacteroides sp. 3_1_40A,Bacteroides_sp_3_1_40A
taxid_457392,457392,Bacteroides sp. 3_2_5,Bacteroides_sp_3_2_5
taxid_457393,457393,Bacteroides sp. 4_1_36,Bacteroides_sp_4_1_36
taxid_457394,457394,Bacteroides sp. 4_3_47FAA,Bacteroides_sp_4_3_47FAA
taxid_457395,457395,Bacteroides sp. 9_1_42FAA,Bacteroides_sp_9_1_42FAA
taxid_2292914,2292914,Bacteroides sp. AF14-46,Bacteroides_sp_AF14_46
taxid_2292919,2292919,Bacteroides sp. AF17-1,Bacteroides_sp_AF17_1
taxid_2292951,2292951,Bacteroides sp. AM37-9,Bacteroides_sp_AM37_9
taxid_556258,556258,Bacteroides sp. D1,Bacteroides_sp_D1
taxid_556259,556259,Bacteroides sp. D2,Bacteroides_sp_D2
taxid_585543,585543,Bacteroides sp. D20,Bacteroides_sp_D20
taxid_585544,585544,Bacteroides sp. D22,Bacteroides_sp_D22
taxid_1078089,1078089,Bacteroides sp. HPS0048,Bacteroides_sp_HPS0048
taxid_46506,46506,Bacteroides stercoris,Bacteroides_stercoris
taxid_818,818,Bacteroides thetaiotaomicron,Bacteroides_thetaiotaomicron
taxid_1470345,1470345,Bacteroides timonensis,Bacteroides_timonensis
taxid_820,820,Bacteroides uniformis,Bacteroides_uniformis
taxid_821,821,Bacteroides vulgatus,Phocaeicola_vulgatus
taxid_371601,371601,Bacteroides xylanisolvens,Bacteroides_xylanisolvens
taxid_384636,384636,Bacteroides xylanolyticus,Bacteroides_xylanolyticus
taxid_487174,487174,Barnesiella intestinihominis,Barnesiella_intestinihominis
taxid_397865,397865,Barnesiella viscericola,Barnesiella_viscericola
taxid_803,803,Bartonella quintana,Bartonella_quintana
taxid_959,959,Bdellovibrio bacteriovorus,Bdellovibrio_bacteriovorus
taxid_1585974,1585974,Beduini massiliensis,Beduini_massiliensis
taxid_1680,1680,Bifidobacterium adolescentis,Bifidobacterium_adolescentis
taxid_1683,1683,Bifidobacterium angulatum,Bifidobacterium_angulatum
taxid_28025,28025,Bifidobacterium animalis,Bifidobacterium_animalis
taxid_1684,1684,Bifidobacterium asteroides,Bifidobacterium_asteroides
taxid_1681,1681,Bifidobacterium bifidum,Bifidobacterium_bifidum
taxid_78343,78343,Bifidobacterium boum,Bifidobacterium_boum
taxid_1685,1685,Bifidobacterium breve,Bifidobacterium_breve
taxid_1686,1686,Bifidobacterium catenulatum,Bifidobacterium_catenulatum
taxid_35760,35760,Bifidobacterium choerinum,Bifidobacterium_choerinum
taxid_1689,1689,Bifidobacterium dentium,Bifidobacterium_dentium
taxid_78342,78342,Bifidobacterium gallicum,Bifidobacterium_gallicum
taxid_630129,630129,Bifidobacterium kashiwanohense,Bifidobacterium_catenulatum
taxid_216816,216816,Bifidobacterium longum,Bifidobacterium_longum
taxid_518643,518643,Bifidobacterium mongoliense,Bifidobacterium_mongoliense
taxid_28026,28026,Bifidobacterium pseudocatenulatum,Bifidobacterium_pseudocatenulatum
taxid_1694,1694,Bifidobacterium pseudolongum,Bifidobacterium_pseudolongum
taxid_78448,78448,Bifidobacterium pullorum,Bifidobacterium_pullorum
taxid_78346,78346,Bifidobacterium ruminantium,Bifidobacterium_ruminantium
taxid_158787,158787,Bifidobacterium scardovii,Bifidobacterium_scardovii
taxid_1161409,1161409,Bifidobacterium sp. MSTE12,Bifidobacterium_sp_MSTE12
taxid_2013020,2013020,Bifidobacterium sp. N4G05,Bifidobacterium_sp_N4G05
taxid_2013021,2013021,Bifidobacterium sp. N5G01,Bifidobacterium_sp_N5G01
taxid_246618,246618,Bifidobacterium thermacidophilum,Bifidobacterium_thermacidophilum
taxid_33905,33905,Bifidobacterium thermophilum,Bifidobacterium_thermophilum
taxid_693988,693988,Bilophila sp. 4_1_30,Bilophila_sp_4_1_30
taxid_35833,35833,Bilophila wadsworthia,Bilophila_wadsworthia
taxid_1720313,1720313,Bittarella massiliensis,Bittarella_massiliensis
taxid_39491,39491,Blautia [Eubacterium] rectale,Eubacterium_rectale
taxid_33038,33038,Blautia [Ruminococcus] gnavus,Ruminococcus_gnavus
taxid_33039,33039,Blautia [Ruminococcus] torques,Ruminococcus_torques
taxid_1912897,1912897,Blautia argi KCTC 15426,Blautia_sp_N6H1_15
taxid_1532,1532,Blautia coccoides,Blautia_coccoides
taxid_2509240,2509240,Blautia faecicola KGMB01111,Blautia_sp_KGMB01111
taxid_1322,1322,Blautia hansenii,Blautia_hansenii
taxid_53443,53443,Blautia hydrogenotrophica,Blautia_hydrogenotrophica
taxid_658655,658655,Blautia Lachnospiraceae bacterium 1_4_56FAA,Lachnospiraceae_bacterium_1_4_56FAA
taxid_742723,742723,Blautia Lachnospiraceae bacterium 2_1_46FAA,Lachnospiraceae_bacterium_2_1_46FAA
taxid_658082,658082,Blautia Lachnospiraceae bacterium 2_1_58FAA,Lachnospiraceae_bacterium_2_1_58FAA
taxid_665950,665950,Blautia Lachnospiraceae bacterium 3_1_46FAA,Lachnospiraceae_bacterium_3_1_46FAA
taxid_658086,658086,Blautia Lachnospiraceae bacterium 3_1_57FAA_CT1,Lachnospiraceae_bacterium_3_1_57FAA_CT1
taxid_658085,658085,Blautia Lachnospiraceae bacterium 5_1_57FAA,Lachnospiraceae_bacterium_5_1_57FAA
taxid_658089,658089,Blautia Lachnospiraceae bacterium 5_1_63FAA,Lachnospiraceae_bacterium_5_1_63FAA
taxid_658087,658087,Blautia Lachnospiraceae bacterium 7_1_58FAA,Lachnospiraceae_bacterium_7_1_58FAA
taxid_658088,658088,Blautia Lachnospiraceae bacterium 9_1_43BFAA,Lachnospiraceae_bacterium_9_1_43BFAA
taxid_1737424,1737424,Blautia massiliensis,Blautia_massiliensis
taxid_40520,40520,Blautia obeum,Blautia_obeum
taxid_33035,33035,Blautia producta,Blautia_producta
taxid_180164,180164,Blautia schinkii DSM 10518,Blautia_schinkii
taxid_2478953,2478953,Blautia sp. aa_0143,Blautia_sp_aa_0143
taxid_2292195,2292195,Blautia sp. AF13-16,Blautia_sp_AF13_16
taxid_2292958,2292958,Blautia sp. AF14-40,Blautia_sp_AF14_40
taxid_2292959,2292959,Blautia sp. AF17-9LB,Blautia_sp_AF17_9LB
taxid_2292960,2292960,Blautia sp. AF19-1,Blautia_sp_AF19_1
taxid_2292961,2292961,Blautia sp. AF19-10LB,Blautia_sp_AF19_10LB
taxid_2292964,2292964,Blautia sp. AF22-5LB,Blautia_sp_AF22_5LB
taxid_2292966,2292966,Blautia sp. AF26-2,Blautia_sp_AF26_2
taxid_2292967,2292967,Blautia sp. AF32-4BH,Blautia_sp_AF32_4BH
taxid_2292968,2292968,Blautia sp. AF34-10,Blautia_sp_AF34_10
taxid_2292971,2292971,Blautia sp. AM23-13AC,Blautia_sp_AM23_13AC
taxid_2292975,2292975,Blautia sp. AM29-29,Blautia_sp_AM29_29
taxid_2292976,2292976,Blautia sp. AM42-2,Blautia_sp_AM42_2
taxid_2292979,2292979,Blautia sp. AM47-4,Blautia_sp_AM47_4
taxid_1965603,1965603,Blautia sp. An249,Blautia_sp_An249
taxid_2212480,2212480,Blautia sp. BCRC 81119,Blautia_sp_BCRC_81119
taxid_1226324,1226324,Blautia sp. KLE 1732,Blautia_sp_KLE_1732
taxid_1805476,1805476,Blautia sp. Marseille-P2398,Blautia_sp_Marseille_P2398
taxid_1907659,1907659,Blautia sp. Marseille-P3201T,Blautia_sp_Marseille_P3201T
taxid_2292980,2292980,Blautia sp. OF03-13,Blautia_sp_OF03_13
taxid_2292287,2292287,Blautia sp. OF03-15BH,Blautia_sp_OF03_15BH
taxid_2292981,2292981,Blautia sp. OF09-25XD,Blautia_sp_OF09_25XD
taxid_2292983,2292983,Blautia sp. OM05-6,Blautia_sp_OM05_6
taxid_1520805,1520805,Blautia sp. SF-50,Blautia_sp_SF_50
taxid_2109334,2109334,Blautia sp. SG-772,Blautia_sp_SG_772
taxid_1796616,1796616,Blautia sp. YL58,Blautia_sp_YL58
taxid_418240,418240,Blautia wexlerae,Blautia_wexlerae
taxid_103855,103855,Bordetella hinzii,Bordetella_hinzii
taxid_53254,53254,Bosea thiooxidans,Bosea_thiooxidans
taxid_52584,52584,Brachyspira pilosicoli,Brachyspira_pilosicoli
taxid_29448,29448,Bradyrhizobium elkanii,Bradyrhizobium_elkanii
taxid_375,375,Bradyrhizobium japonicum,Bradyrhizobium_japonicum
taxid_108015,108015,Bradyrhizobium yuanmingense,Bradyrhizobium_yuanmingense
taxid_51101,51101,Brevibacillus agri,Brevibacillus_agri
taxid_45462,45462,Brevibacillus borstelensis,Brevibacillus_borstelensis
taxid_1393,1393,Brevibacillus brevis,Brevibacillus_brevis
taxid_479117,479117,Brevibacterium ravenspurgense,Brevibacterium_ravenspurgense
taxid_1033736,1033736,Brevibacterium senegalense,Brevibacterium_senegalense
taxid_293,293,Brevundimonas diminuta,Brevundimonas_diminuta
taxid_2756,2756,Brochothrix thermosphacta,Brochothrix_thermosphacta
taxid_118748,118748,Bulleidia extructa,Bulleidia_extructa
taxid_95486,95486,Burkholderia cenocepacia,Burkholderia_cenocepacia
taxid_292,292,Burkholderia cepacia,Burkholderia_cepacia
taxid_1891238,1891238,Burkholderiales bacterium,Unknown_Burkholderiales_bacterium
taxid_501571,501571,Butyricicoccus pullicaecorum,Butyricicoccus_pullicaecorum
taxid_2292196,2292196,Butyricicoccus sp. AF10-3,Butyricicoccus_sp_AF10_3
taxid_2292004,2292004,Butyricicoccus sp. AM05-1,Butyricicoccus_sp_AM05_1
taxid_2292005,2292005,Butyricicoccus sp. AM18-35,Butyricicoccus_sp_AM18_35
taxid_2292293,2292293,Butyricicoccus sp. AM27-36,Butyricicoccus_sp_AM27_36
taxid_2292294,2292294,Butyricicoccus sp. AM28-25,Butyricicoccus_sp_AM28_25
taxid_2292297,2292297,Butyricicoccus sp. AM42-5AC,Butyricicoccus_sp_AM42_5AC
taxid_2109686,2109686,Butyricicoccus sp. GAM44,Butyricicoccus_sp_GAM44
taxid_2292299,2292299,Butyricicoccus sp. OF13-6,Butyricicoccus_sp_OF13_6
taxid_1816677,1816677,Butyricimonas sp. Marseille-P2440,Butyricimonas_sp_Marseille_P2440
taxid_544644,544644,Butyricimonas synergistica,Butyricimonas_synergistica
taxid_544645,544645,Butyricimonas virosa,Butyricimonas_virosa
taxid_45851,45851,Butyrivibrio crossotus,Butyrivibrio_crossotus
taxid_831,831,Butyrivibrio fibrisolvens,Butyrivibrio_fibrisolvens
taxid_43305,43305,Butyrivibrio proteoclasticus,Butyrivibrio_proteoclasticus
taxid_195,195,Campylobacter coli,Campylobacter_coli
taxid_199,199,Campylobacter concisus,Campylobacter_concisus
taxid_196,196,Campylobacter fetus,Campylobacter_fetus
taxid_824,824,Campylobacter gracilis,Campylobacter_gracilis
taxid_76517,76517,Campylobacter hominis,Campylobacter_hominis
taxid_198,198,Campylobacter hyointestinalis,Campylobacter_hyointestinalis
taxid_197,197,Campylobacter jejuni,Campylobacter_jejuni
taxid_201,201,Campylobacter lari,Campylobacter_lari
taxid_203,203,Campylobacter rectus,Campylobacter_rectus
taxid_204,204,Campylobacter showae,Campylobacter_showae
taxid_2067673,2067673,Campylobacter sp. AAUH-44UCsig-a,Campylobacter_sp_AAUH_44UCsig_a
taxid_206,206,Campylobacter sputorum,Campylobacter_sputorum
taxid_28080,28080,Campylobacter upsaliensis,Campylobacter_upsaliensis
taxid_827,827,Campylobacter ureolyticus,Campylobacter_ureolyticus
taxid_2508949,2508949,Candidatus Borkfalki ceftriaxensis,Candidatus_Borkfalkia_ceftriaxoniphila
taxid_41950,41950,Candidatus Microthrix parvicella Bio17-1,Candidatus_Microthrix_parvicella
taxid_2026720,2026720,Candidatus Saccharibacteria bacterium,Unknown_Candidatus_Saccharibacteria_bacterium
taxid_1470354,1470354,Candidatus Soleaferrea massiliensis,Candidatus_Soleaferrea_massiliensis
taxid_1470350,1470350,Candidatus Stoquefichus massiliensis,Candidatus_Stoquefichus_massiliensis
taxid_2718,2718,Cardiobacterium hominis,Cardiobacterium_hominis
taxid_2751,2751,Carnobacterium maltaromaticum,Carnobacterium_maltaromaticum
taxid_270498,270498,Catabacter hongkongensis,Catabacter_hongkongensis
taxid_100886,100886,Catenibacterium mitsuokai,Catenibacterium_mitsuokai
taxid_43997,43997,Catonella morbi,Catonella_morbi
taxid_158484,158484,Cedecea davisae,Cedecea_davisae
taxid_1465811,1465811,Cellulomonas massiliensis,Cellulomonas_massiliensis
